Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2045,4.28,379.1251557259386,1.2597323815373382,1.621460738708216,6.419999999999999,380.166859354741,1.2605356161218426,1.6361405135511435,8.559999999999999,381.2085629835435,1.2613374380339768,1.6507801190022449,10.7,382.25026661234614,1.2621378531107244,1.6653797742989056
2046,3.9590000000000005,377.3891806114198,1.26008295541414,1.5969073820349398,6.2059999999999995,378.5333141676462,1.261009469253021,1.6131024793955921,8.453,379.67744772387266,1.261934188249489,1.62924870015507,10.7,380.8215812800992,1.2628571205669998,1.6453463384438582
2047,3.638000000000001,375.6694353991914,1.2602318985015364,1.5724719591230054,5.992,376.92011348429327,1.261293322568876,1.5902535877008557,8.345999999999998,378.1707915693952,1.262352492138005,1.607976311758012,10.7,379.42146965449723,1.2634094184445823,1.625640520267797
2048,3.317,373.9655954912076,1.2601821630288075,1.5481519665153376,5.778,375.3268504146074,1.2613905858046572,1.567590896914629,8.238999999999999,376.6881053380073,1.262596206021944,1.5869594526560322,10.7,378.0493602614073,1.2637990389205909,1.6062581414560277
2049,2.9960000000000013,372.2773427813834,1.2599366515900676,1.5239449236242706,5.564,373.75312620631524,1.2613046109444839,1.5451114897376854,8.131999999999998,375.2289096312471,1.2626691194458346,1.5661946430402471,10.7,376.70469305617917,1.2640301974911865,1.5871950383755213
2050,2.675,370.6043655257558,1.2594982178259841,1.4998483727241292,5.35,372.19855008218894,1.2610386929978212,1.5228124734098167,8.024999999999999,373.79273463862216,1.2625749560229196,1.5456784251570068,10.7,375.3869191950556,1.2641070338679778,1.5684470633767171
2051,2.675,368.94635821524065,1.2588696670985273,1.4758598789323847,5.35,370.6627390805452,1.260596070770347,1.500690979975492,8.024999999999999,372.3791199458497,1.2623173742787914,1.5254073639858052,10.7,374.0955008111545,1.2640336128756628,1.5500100860516626
2052,2.675,367.32151105093584,1.2580559407200713,1.4522463360786,5.35,369.15764429893426,1.2599813760839236,1.4789228092912114,8.024999999999999,370.99377754693273,1.261900689128838,1.5054669264495872,10.7,372.82991079493144,1.2638139253505434,1.5318799944485955
2053,2.675,365.72916082991713,1.2570618962047277,1.4290035033290591,5.35,367.6826514129556,1.2591991600872174,1.4575037242430724,8.024999999999999,369.6361419959941,1.2613291383823624,1.4858529245269152,10.7,371.5896325790328,1.2634518890395494,1.5140526962430827
2054,2.675,364.16865761331877,1.2558923080834312,1.406127137025923,5.35,366.23715838469644,1.2582538941095054,1.4364294935230775,8.024999999999999,368.30565915607417,1.260606883624894,1.4665611839171646,10.7,370.3741599274521,1.2629513494994182,1.496524119865934
2055,2.675,362.6393644610524,1.2545518687252741,1.3836129924635123,5.35,364.8205752170025,1.257149970518641,1.4156958931951233,8.024999999999999,367.0017859729527,1.2597380111024856,1.4475875453736526,10.7,369.1829967289031,1.262316080995679,1.479290215588115
2056,2.675,361.1406571718314,1.2530451891647076,1.3614568256246387,5.35,363.4323237126624,1.2558917035827917,1.3952987082182198,8.024999999999999,365.72399025349364,1.258726532607621,1.4289278659930924,10.7,368.015656794325,1.2615497874010977,1.4623469565629588
2057,2.675,359.67192402839476,1.2513767999342194,1.3396543948762476,5.35,362.07183723840916,1.2544833303355578,1.3752337339266099,8.024999999999999,364.4717504484238,1.257576386366367,1.4105780204614202,10.7,366.87166365843854,1.2606561030932437,1.4456903398260326
2058,2.675,358.2325655478269,1.249551151902097,1.3182014626237697,5.35,360.738560493641,1.2529290114440932,1.3554967774665607,8.024999999999999,363.2445554394553,1.2562914379264012,1.3925339022560785,10.7,365.7505503852698,1.2596385938508492,1.4293163872530144
2059,2.675,356.82199423687035,1.2475726171148889,1.2970937969235892,5.35,359.4319492837682,1.2512328320798385,1.336083659189627,8.024999999999999,362.0419043306662,1.2548754810455556,1.3747914248049278,10.7,364.6518593775644,1.258500757748633,1.4132211464760374
2060,2.675,355.43963435213294,1.2454454896441713,1.2763271730531922,5.35,358.1514702980928,1.2493988027914913,1.3169902140023004,8.024999999999999,360.8633062440529,1.2533322385805215,1.3573465226019763,10.7,363.5751421900131,1.2572460260502731,1.397400691758943
2061,2.675,354.0849216650903,1.2431739864372315,1.255897375038563,5.35,356.89660089213095,1.2474308603798356,1.298212292671976,8.024999999999999,359.7082801191719,1.2516653633753665,1.3401951522801954,10.7,362.51995934621283,1.2558777640992187,1.3818511248319656
2062,2.675,352.7573032317885,1.2407622481712797,1.2358001971385204,5.35,355.66682887428834,1.2453328687740584,1.2797457630892735,8.024999999999999,358.57635451678846,1.2498784391495188,1.3233332936417355,10.7,361.48588015928857,1.254399272207035,1.366568575686368
2063,2.675,351.4562371671527,1.2382143401108026,1.216031445285742,5.35,354.4616522968026,1.2431086199091834,1.2615865114867673,8.024999999999999,357.4670674264527,1.2479749813848822,1.3067569506458772,10.7,360.4724825561028,1.2528137865389883,1.3515492033296062
2064,2.675,350.18119242380965,1.2355342529676752,1.19658693848428,5.35,353.28057925086654,1.2407618346042615,1.2437304436142824,8.024999999999999,356.3799660779236,1.2459584382117506,1.2904621523551358,10.7,359.4793529049808,1.2511244799965846,1.3367891965016236
